Date,Gia,SanLuong
2/8/2015,780,310.4
2/15/2015,780,310.4
2/22/2015,780,310.4
3/1/2015,780,310.4
3/8/2015,580,310.4
3/15/2015,580,310.4
3/22/2015,600,310.4
3/29/2015,450,310.4
4/5/2015,420,310.4
4/12/2015,420,310.4
4/19/2015,420,310.4
4/26/2015,400,310.4
5/3/2015,400,310.4
5/10/2015,340,310.4
5/17/2015,340,310.4
5/24/2015,340,310.4
5/31/2015,160,310.4
6/7/2015,100,310.4
6/14/2015,110,310.4
6/21/2015,160,310.4
6/28/2015,190,310.4
7/5/2015,200,310.4
7/12/2015,210,310.4
7/19/2015,160,310.4
7/26/2015,170,310.4
8/2/2015,180,310.4
8/9/2015,180,310.4
8/16/2015,400,310.4
8/23/2015,400,310.4
8/30/2015,420,310.4
9/6/2015,450,310.4
9/13/2015,520,310.4
9/20/2015,480,310.4
9/27/2015,460,310.4
10/4/2015,440,310.4
10/11/2015,440,310.4
10/18/2015,440,310.4
10/25/2015,600,310.4
11/1/2015,620,310.4
11/8/2015,720,310.4
11/15/2015,830,310.4
11/22/2015,830,310.4
11/29/2015,760,310.4
12/6/2015,780,310.4
12/13/2015,750,310.4
12/20/2015,800,310.4
12/27/2015,800,310.4
1/3/2016,800,294.3
1/10/2016,820,294.3
1/17/2016,790,294.3
1/24/2016,550,294.3
1/31/2016,520,294.3
2/7/2016,520,294.3
2/14/2016,520,294.3
2/21/2016,530,294.3
2/28/2016,530,294.3
3/6/2016,540,294.3
3/13/2016,600,294.3
3/20/2016,580,294.3
3/27/2016,600,294.3
4/3/2016,540,294.3
4/10/2016,520,294.3
4/17/2016,380,294.3
4/24/2016,420,294.3
5/1/2016,650,294.3
5/8/2016,880,294.3
5/15/2016,880,294.3
5/22/2016,1000,294.3
5/29/2016,1100,294.3
6/5/2016,1300,294.3
6/12/2016,1200,294.3
6/19/2016,1250,294.3
6/26/2016,1200,294.3
7/3/2016,1200,294.3
7/10/2016,1100,294.3
7/17/2016,800,294.3
7/24/2016,750,294.3
7/31/2016,830,294.3
8/7/2016,720,294.3
8/14/2016,700,294.3
8/21/2016,720,294.3
8/28/2016,580,294.3
9/4/2016,560,294.3
9/11/2016,630,294.3
9/18/2016,670,294.3
9/25/2016,690,294.3
10/2/2016,750,294.3
10/9/2016,900,294.3
10/16/2016,820,294.3
10/23/2016,720,294.3
10/30/2016,700,294.3
11/6/2016,700,294.3
11/13/2016,650,294.3
11/20/2016,650,294.3
11/27/2016,600,294.3
12/4/2016,460,294.3
12/11/2016,480,294.3
12/18/2016,450,294.3
12/25/2016,580,294.3
1/1/2017,580,358
1/8/2017,560,358
1/15/2017,430,358
1/22/2017,400,358
1/29/2017,500,358
2/5/2017,450,358
2/12/2017,410,358
2/19/2017,750,358
2/26/2017,730,358
3/5/2017,780,358
3/12/2017,900,358
3/19/2017,850,358
3/26/2017,880,358
4/2/2017,820,358
4/9/2017,740,358
4/16/2017,730,358
4/23/2017,740,358
4/30/2017,700,358
5/7/2017,750,358
5/14/2017,700,358
5/21/2017,700,358
5/28/2017,640,358
6/4/2017,650,358
6/11/2017,500,358
6/18/2017,500,358
6/25/2017,680,358
7/2/2017,620,358
7/9/2017,600,358
7/16/2017,600,358
7/23/2017,550,358
7/30/2017,540,358
8/6/2017,500,358
8/13/2017,470,358
8/20/2017,400,358
8/27/2017,420,358
9/3/2017,410,358
9/10/2017,550,358
9/17/2017,540,358
9/24/2017,520,358
10/1/2017,480,358
10/8/2017,620,358
10/15/2017,600,358
10/22/2017,600,358
10/29/2017,800,358
11/5/2017,780,358
11/12/2017,780,358
11/19/2017,650,358
11/26/2017,720,358
12/3/2017,820,358
12/10/2017,800,358
12/17/2017,850,358
12/24/2017,1100,358
12/31/2017,1000,358
1/7/2018,1100,381.4
1/14/2018,1200,381.4
1/21/2018,1300,381.4
1/28/2018,1300,381.4
2/4/2018,1200,381.4
2/11/2018,1200,381.4
2/18/2018,1200,381.4
2/25/2018,1200,381.4
3/4/2018,1150,381.4
3/11/2018,1100,381.4
3/18/2018,850,381.4
3/25/2018,670,381.4
4/1/2018,680,381.4
4/8/2018,550,381.4
4/15/2018,550,381.4
4/22/2018,580,381.4
4/29/2018,580,381.4
5/6/2018,560,381.4
5/13/2018,540,381.4
5/20/2018,540,381.4
5/27/2018,530,381.4
6/3/2018,750,381.4
6/10/2018,780,381.4
6/17/2018,680,381.4
6/24/2018,720,381.4
7/1/2018,570,381.4
7/8/2018,490,381.4
7/15/2018,570,381.4
7/22/2018,560,381.4
7/29/2018,520,381.4
8/5/2018,520,381.4
8/12/2018,430,381.4
8/19/2018,440,381.4
8/26/2018,420,381.4
9/2/2018,420,381.4
9/9/2018,400,381.4
9/16/2018,430,381.4
9/23/2018,300,381.4
9/30/2018,280,381.4
10/7/2018,250,381.4
10/14/2018,340,381.4
10/21/2018,330,381.4
10/28/2018,200,381.4
11/4/2018,190,381.4
11/11/2018,200,381.4
11/18/2018,320,381.4
11/25/2018,420,381.4
12/2/2018,480,381.4
12/9/2018,580,381.4
12/16/2018,520,381.4
12/23/2018,540,381.4
12/30/2018,520,381.4
1/6/2019,550,377.5
1/13/2019,420,377.5
1/20/2019,400,377.5
1/27/2019,400,377.5
2/3/2019,350,377.5
2/10/2019,350,377.5
2/17/2019,420,377.5
2/24/2019,500,377.5
3/3/2019,700,377.5
3/10/2019,800,377.5
3/17/2019,620,377.5
3/24/2019,530,377.5
3/31/2019,600,377.5
4/7/2019,580,377.5
4/14/2019,570,377.5
4/21/2019,550,377.5
4/28/2019,540,377.5
5/5/2019,650,377.5
5/12/2019,720,377.5
5/19/2019,720,377.5
5/26/2019,720,377.5
6/2/2019,720,377.5
6/9/2019,720,377.5
6/16/2019,730,377.5
6/23/2019,710,377.5
6/30/2019,500,377.5
7/7/2019,670,377.5
7/14/2019,570,377.5
7/21/2019,530,377.5
7/28/2019,550,377.5
8/4/2019,480,377.5
8/11/2019,500,377.5
8/18/2019,380,377.5
8/25/2019,380,377.5
9/1/2019,350,377.5
9/8/2019,300,377.5
9/15/2019,200,377.5
9/22/2019,210,377.5
9/29/2019,250,377.5
10/6/2019,200,377.5
10/13/2019,220,377.5
10/20/2019,230,377.5
10/27/2019,450,377.5
11/3/2019,380,377.5
11/10/2019,300,377.5
11/17/2019,380,377.5
11/24/2019,380,377.5
12/1/2019,450,377.5
12/8/2019,510,377.5
12/15/2019,450,377.5
12/22/2019,350,377.5
12/29/2019,350,377.5
